label,date,value,low,high
Approve,2009-09-01,51.8912,,
Approve,2009-09-01,51.8912,,
Approve,2009-09-01,51.8912,,
Approve,2009-09-01,51.8912,,
Approve,2009-09-03,51.8117,,
Approve,2009-09-04,51.7778,,
Approve,2009-09-06,51.7039,,
Approve,2009-09-07,51.6807,,
Approve,2009-09-08,51.6418,,
Approve,2009-09-10,51.5902,,
Approve,2009-09-10,51.5902,,
Approve,2009-09-10,51.5902,,
Approve,2009-09-11,51.5614,,
Approve,2009-09-12,51.5332,,
Approve,2009-09-13,51.5123,,
Approve,2009-09-13,51.5123,,
Approve,2009-09-13,51.5123,,
Approve,2009-09-13,51.5123,,
Approve,2009-09-14,51.4913,,
Approve,2009-09-14,51.4913,,
Approve,2009-09-15,51.4699,,
Approve,2009-09-15,51.4699,,
Approve,2009-09-15,51.4699,,
Approve,2009-09-16,51.4373,,
Approve,2009-09-16,51.4373,,
Approve,2009-09-16,51.4373,,
Approve,2009-09-16,51.4373,,
Approve,2009-09-17,51.406,,
Approve,2009-09-19,51.3561,,
Approve,2009-09-19,51.3561,,
Approve,2009-09-20,51.3319,,
Approve,2009-09-21,51.3082,,
Approve,2009-09-21,51.3082,,
Approve,2009-09-22,51.285,,
Approve,2009-09-22,51.285,,
Approve,2009-09-22,51.285,,
Approve,2009-09-23,51.2604,,
Approve,2009-09-25,51.2172,,
Approve,2009-09-25,51.2172,,
Approve,2009-09-28,51.1552,,
Approve,2009-09-28,51.1552,,
Approve,2009-09-28,51.1552,,
Approve,2009-09-28,51.1552,,
Approve,2009-09-29,51.135,,
Approve,2009-09-30,51.1125,,
Approve,2009-10-01,51.0945,,
Approve,2009-10-01,51.0945,,
Approve,2009-10-04,51.0324,,
Approve,2009-10-04,51.0324,,
Approve,2009-10-04,51.0324,,
Approve,2009-10-05,51.0111,,
Approve,2009-10-05,51.0111,,
Approve,2009-10-05,51.0111,,
Approve,2009-10-06,50.9836,,
Approve,2009-10-07,50.9673,,
Approve,2009-10-07,50.9673,,
Approve,2009-10-08,50.9446,,
Approve,2009-10-10,50.8904,,
Approve,2009-10-10,50.8904,,
Approve,2009-10-12,50.8253,,
Approve,2009-10-12,50.8253,,
Approve,2009-10-13,50.7994,,
Approve,2009-10-13,50.7994,,
Approve,2009-10-13,50.7994,,
Approve,2009-10-14,50.773,,
Approve,2009-10-16,50.7273,,
Approve,2009-10-16,50.7273,,
Approve,2009-10-18,50.6557,,
Approve,2009-10-18,50.6557,,
Approve,2009-10-19,50.6274,,
Approve,2009-10-19,50.6274,,
Approve,2009-10-19,50.6274,,
Approve,2009-10-19,50.6274,,
Approve,2009-10-19,50.6274,,
Approve,2009-10-20,50.591,,
Approve,2009-10-20,50.591,,
Approve,2009-10-22,50.5324,,
Approve,2009-10-22,50.5324,,
Approve,2009-10-25,50.4478,,
Approve,2009-10-25,50.4478,,
Approve,2009-10-25,50.4478,,
Approve,2009-10-27,50.3902,,
Approve,2009-10-28,50.3575,,
Approve,2009-10-28,50.3575,,
Approve,2009-10-28,50.3575,,
Approve,2009-10-31,50.2616,,
Approve,2009-10-31,50.2616,,
Approve,2009-11-01,50.2228,,
Approve,2009-11-01,50.2228,,
Approve,2009-11-03,50.154,,
Approve,2009-11-03,50.154,,
Approve,2009-11-03,50.154,,
Approve,2009-11-06,50.0533,,
Approve,2009-11-06,50.0533,,
Approve,2009-11-06,50.0533,,
Approve,2009-11-08,49.9844,,
Approve,2009-11-08,49.9844,,
Approve,2009-11-09,49.9504,,
Approve,2009-11-09,49.9504,,
Approve,2009-11-09,49.9504,,
Approve,2009-11-11,49.8833,,
Approve,2009-11-11,49.8833,,
Approve,2009-11-12,49.85,,
Approve,2009-11-12,49.85,,
Approve,2009-11-15,49.7555,,
Approve,2009-11-15,49.7555,,
Approve,2009-11-15,49.7555,,
Approve,2009-11-15,49.7555,,
Approve,2009-11-15,49.7555,,
Approve,2009-11-15,49.7555,,
Approve,2009-11-16,49.7244,,
Approve,2009-11-16,49.7244,,
Approve,2009-11-18,49.6629,,
Approve,2009-11-18,49.6629,,
Approve,2009-11-18,49.6629,,
Approve,2009-11-20,49.5993,,
Approve,2009-11-21,49.5657,,
Approve,2009-11-21,49.5657,,
Approve,2009-11-24,49.4761,,
Approve,2009-11-24,49.4761,,
Approve,2009-11-28,49.3584,,
Approve,2009-12-01,49.2823,,
Approve,2009-12-01,49.2823,,
Approve,2009-12-03,49.2248,,
Approve,2009-12-04,49.1962,,
Approve,2009-12-04,49.1962,,
Approve,2009-12-06,49.1394,,
Approve,2009-12-06,49.1394,,
Approve,2009-12-07,49.1112,,
Approve,2009-12-07,49.1112,,
Approve,2009-12-07,49.1112,,
Approve,2009-12-07,49.1112,,
Approve,2009-12-07,49.1112,,
Approve,2009-12-08,49.0896,,
Approve,2009-12-08,49.0896,,
Approve,2009-12-09,49.0555,,
Approve,2009-12-10,49.028,,
Approve,2009-12-10,49.028,,
Approve,2009-12-11,48.994,,
Approve,2009-12-12,48.9669,,
Approve,2009-12-13,48.9469,,
Approve,2009-12-13,48.9469,,
Approve,2009-12-13,48.9469,,
Approve,2009-12-13,48.9469,,
Approve,2009-12-14,48.9204,,
Approve,2009-12-14,48.9204,,
Approve,2009-12-14,48.9204,,
Approve,2009-12-15,48.8942,,
Approve,2009-12-15,48.8942,,
Approve,2009-12-16,48.8683,,
Approve,2009-12-18,48.8104,,
Approve,2009-12-19,48.7924,,
Approve,2009-12-20,48.7677,,
Approve,2009-12-20,48.7677,,
Approve,2009-12-20,48.7677,,
Approve,2009-12-21,48.7504,,
Approve,2009-12-22,48.7193,,
Approve,2009-12-22,48.7193,,
Approve,2009-12-27,48.6042,,
Approve,2009-12-28,48.5823,,
Approve,2009-12-29,48.5678,,
Approve,2009-12-30,48.5398,,
Approve,2009-12-30,48.5398,,
Approve,2010-01-03,48.4598,,
Approve,2010-01-04,48.4407,,
Approve,2010-01-05,48.422,,
Approve,2010-01-06,48.4036,,
Approve,2010-01-07,48.3806,,
Approve,2010-01-07,48.3806,,
Approve,2010-01-09,48.3507,,
Approve,2010-01-10,48.3301,,
Approve,2010-01-10,48.3301,,
Approve,2010-01-10,48.3301,,
Approve,2010-01-10,48.3301,,
Approve,2010-01-11,48.3141,,
Approve,2010-01-11,48.3141,,
Approve,2010-01-11,48.3141,,
Approve,2010-01-12,48.3011,,
Approve,2010-01-12,48.3011,,
Approve,2010-01-13,48.2832,,
Approve,2010-01-13,48.2832,,
Approve,2010-01-14,48.2684,,
Approve,2010-01-15,48.2541,,
Approve,2010-01-15,48.2541,,
Approve,2010-01-16,48.2401,,
Approve,2010-01-17,48.2264,,
Approve,2010-01-17,48.2264,,
Approve,2010-01-18,48.2132,,
Approve,2010-01-18,48.2132,,
Approve,2010-01-19,48.2009,,
Approve,2010-01-19,48.2009,,
Approve,2010-01-19,48.2009,,
Approve,2010-01-20,48.1877,,
Approve,2010-01-20,48.1877,,
Approve,2010-01-21,48.1753,,
Approve,2010-01-22,48.1632,,
Approve,2010-01-23,48.1512,,
Approve,2010-01-24,48.1377,,
Approve,2010-01-24,48.1377,,
Approve,2010-01-25,48.1258,,
Approve,2010-01-25,48.1258,,
Approve,2010-01-25,48.1258,,
Approve,2010-01-26,48.1159,,
Approve,2010-01-27,48.1043,,
Approve,2010-01-28,48.095,,
Approve,2010-01-30,48.0696,,
Approve,2010-01-31,48.0562,,
Approve,2010-01-31,48.0562,,
Approve,2010-01-31,48.0562,,
Approve,2010-02-01,48.0449,,
Approve,2010-02-02,48.0336,,
Approve,2010-02-02,48.0336,,
Approve,2010-02-03,48.0239,,
Approve,2010-02-03,48.0239,,
Approve,2010-02-03,48.0239,,
Approve,2010-02-04,48.0127,,
Approve,2010-02-05,48.003,,
Approve,2010-02-06,47.9919,,
Approve,2010-02-06,47.9919,,
Approve,2010-02-08,47.9723,,
Approve,2010-02-08,47.9723,,
Approve,2010-02-08,47.9723,,
Approve,2010-02-09,47.9622,,
Approve,2010-02-09,47.9622,,
Approve,2010-02-09,47.9622,,
Approve,2010-02-10,47.951,,
Approve,2010-02-11,47.9395,,
Approve,2010-02-12,47.929,,
Approve,2010-02-14,47.9074,,
Approve,2010-02-15,47.8968,,
Approve,2010-02-15,47.8968,,
Approve,2010-02-15,47.8968,,
Approve,2010-02-16,47.8864,,
Approve,2010-02-17,47.8769,,
Approve,2010-02-18,47.868,,
Approve,2010-02-18,47.868,,
Approve,2010-02-18,47.868,,
Approve,2010-02-19,47.8583,,
Approve,2010-02-20,47.8488,,
Approve,2010-02-20,47.8488,,
Approve,2010-02-21,47.8393,,
Approve,2010-02-23,47.8208,,
Approve,2010-02-23,47.8208,,
Approve,2010-02-24,47.814,,
Approve,2010-02-24,47.814,,
Approve,2010-02-24,47.814,,
Approve,2010-02-25,47.803,,
Approve,2010-02-26,47.7967,,
Approve,2010-02-27,47.7883,,
Approve,2010-02-28,47.7802,,
Approve,2010-03-01,47.7692,,
Approve,2010-03-02,47.7647,,
Approve,2010-03-02,47.7647,,
Approve,2010-03-04,47.7504,,
Approve,2010-03-04,47.7504,,
Approve,2010-03-05,47.7437,,
Approve,2010-03-07,47.7267,,
Approve,2010-03-08,47.7159,,
Approve,2010-03-08,47.7159,,
Approve,2010-03-08,47.7159,,
Approve,2010-03-08,47.7159,,
Approve,2010-03-10,47.7044,,
Approve,2010-03-11,47.699,,
Approve,2010-03-11,47.699,,
Approve,2010-03-13,47.6837,,
Approve,2010-03-14,47.6736,,
Approve,2010-03-14,47.6736,,
Approve,2010-03-14,47.6736,,
Approve,2010-03-14,47.6736,,
Approve,2010-03-16,47.6651,,
Approve,2010-03-16,47.6651,,
Approve,2010-03-17,47.6559,,
Approve,2010-03-17,47.6559,,
Approve,2010-03-18,47.6578,,
Approve,2010-03-19,47.6545,,
Approve,2010-03-20,47.6465,,
Approve,2010-03-21,47.6485,,
Approve,2010-03-21,47.6485,,
Approve,2010-03-21,47.6485,,
Approve,2010-03-21,47.6485,,
Approve,2010-03-22,47.6501,,
Approve,2010-03-22,47.6501,,
Approve,2010-03-22,47.6501,,
Approve,2010-03-23,47.6512,,
Approve,2010-03-24,47.6481,,
Approve,2010-03-25,47.6483,,
Approve,2010-03-26,47.6449,,
Approve,2010-03-27,47.6416,,
Approve,2010-03-28,47.6383,,
Approve,2010-03-28,47.6383,,
Approve,2010-03-29,47.6349,,
Approve,2010-03-30,47.6314,,
Approve,2010-03-30,47.6314,,
Approve,2010-03-31,47.6278,,
Approve,2010-04-01,47.624,,
Approve,2010-04-02,47.6213,,
Approve,2010-04-03,47.6169,,
Approve,2010-04-03,47.6169,,
Approve,2010-04-06,47.603,,
Approve,2010-04-06,47.603,,
Approve,2010-04-06,47.603,,
Approve,2010-04-07,47.5978,,
Approve,2010-04-08,47.5926,,
Approve,2010-04-09,47.5873,,
Approve,2010-04-09,47.5873,,
Approve,2010-04-11,47.5761,,
Approve,2010-04-11,47.5761,,
Approve,2010-04-11,47.5761,,
Approve,2010-04-12,47.5719,,
Approve,2010-04-12,47.5719,,
Approve,2010-04-12,47.5719,,
Approve,2010-04-12,47.5719,,
Approve,2010-04-13,47.5682,,
Approve,2010-04-13,47.5682,,
Approve,2010-04-15,47.551,,
Approve,2010-04-15,47.551,,
Approve,2010-04-18,47.5291,,
Approve,2010-04-18,47.5291,,
Approve,2010-04-19,47.5165,,
Approve,2010-04-19,47.5165,,
Approve,2010-04-19,47.5165,,
Approve,2010-04-20,47.5029,,
Approve,2010-04-20,47.5029,,
Approve,2010-04-20,47.5029,,
Approve,2010-04-21,47.4936,,
Approve,2010-04-21,47.4936,,
Approve,2010-04-21,47.4936,,
Approve,2010-04-24,47.4643,,
Approve,2010-04-24,47.4643,,
Approve,2010-04-25,47.4541,,
Approve,2010-04-26,47.437,,
Approve,2010-04-26,47.437,,
Approve,2010-04-27,47.4328,,
Approve,2010-04-27,47.4328,,
Approve,2010-04-27,47.4328,,
Approve,2010-04-27,47.4328,,
Approve,2010-04-30,47.4064,,
Approve,2010-04-30,47.4064,,
Approve,2010-05-02,47.375,,
Approve,2010-05-03,47.3626,,
Approve,2010-05-03,47.3626,,
Approve,2010-05-04,47.35,,
Approve,2010-05-05,47.3371,,
Approve,2010-05-06,47.3239,,
Approve,2010-05-06,47.3239,,
Approve,2010-05-09,47.2829,,
Approve,2010-05-09,47.2829,,
Approve,2010-05-09,47.2829,,
Approve,2010-05-09,47.2829,,
Approve,2010-05-09,47.2829,,
Approve,2010-05-10,47.2686,,
Approve,2010-05-10,47.2686,,
Approve,2010-05-11,47.2541,,
Approve,2010-05-11,47.2541,,
Approve,2010-05-12,47.2324,,
Approve,2010-05-13,47.2173,,
Approve,2010-05-15,47.1928,,
Approve,2010-05-16,47.1764,,
Approve,2010-05-17,47.1596,,
Approve,2010-05-18,47.1423,,
Approve,2010-05-18,47.1423,,
Approve,2010-05-18,47.1423,,
Approve,2010-05-19,47.1244,,
Approve,2010-05-19,47.1244,,
Approve,2010-05-20,47.106,,
Approve,2010-05-22,47.0731,,
Approve,2010-05-22,47.0731,,
Approve,2010-05-23,47.0472,,
Approve,2010-05-23,47.0472,,
Approve,2010-05-24,47.0208,,
Approve,2010-05-24,47.0208,,
Approve,2010-05-25,47.005,,
Approve,2010-05-25,47.005,,
Approve,2010-05-25,47.005,,
Approve,2010-05-28,46.9423,,
Approve,2010-05-28,46.9423,,
Approve,2010-05-31,46.8668,,
Approve,2010-06-01,46.8425,,
Approve,2010-06-01,46.8425,,
Approve,2010-06-03,46.793,,
Approve,2010-06-04,46.7679,,
